jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
2.6175e-04,0.0103,0.1237,0.0291,261.7788,1.0000,2.6175e-04
2.6334e-04,0.0100,0.1197,0.0282,263.3642,1.0000,2.6334e-04
2.6492e-04,0.0096,0.1157,0.0272,264.9496,1.0000,2.6492e-04
2.6651e-04,0.0093,0.1119,0.0263,266.5351,1.0000,2.6651e-04
2.6810e-04,0.0090,0.1082,0.0255,268.1205,1.0000,2.6810e-04
2.6968e-04,0.0087,0.1047,0.0246,269.7060,1.0000,2.6968e-04
2.7127e-04,0.0084,0.1012,0.0238,271.2916,1.0000,2.7127e-04
2.7285e-04,0.0082,0.0979,0.0230,272.8771,1.0000,2.7285e-04
2.7444e-04,0.0079,0.0947,0.0223,274.4627,1.0000,2.7444e-04
2.7603e-04,0.0076,0.0916,0.0216,276.0483,1.0000,2.7603e-04
2.7761e-04,0.0074,0.0886,0.0208,277.6339,1.0000,2.7761e-04
2.7920e-04,0.0071,0.0856,0.0202,279.2196,1.0000,2.7920e-04
2.8079e-04,0.0069,0.0828,0.0195,280.8053,1.0000,2.8079e-04
2.8237e-04,0.0067,0.0801,0.0189,282.3910,1.0000,2.8237e-04
2.8396e-04,0.0065,0.0775,0.0182,283.9767,1.0000,2.8396e-04
2.8554e-04,0.0062,0.0749,0.0176,285.5624,1.0000,2.8554e-04
2.8713e-04,0.0060,0.0725,0.0171,287.1482,1.0000,2.8713e-04
2.8872e-04,0.0058,0.0701,0.0165,288.7340,1.0000,2.8872e-04
2.9030e-04,0.0056,0.0678,0.0160,290.3198,1.0000,2.9030e-04
2.9189e-04,0.0055,0.0655,0.0154,291.9056,1.0000,2.9189e-04
2.9348e-04,0.0053,0.0634,0.0149,293.4914,1.0000,2.9348e-04
2.9506e-04,0.0051,0.0613,0.0144,295.0772,1.0000,2.9506e-04
2.9665e-04,0.0049,0.0593,0.0140,296.6631,1.0000,2.9665e-04
2.9824e-04,0.0048,0.0573,0.0135,298.2490,1.0000,2.9824e-04
2.9982e-04,0.0046,0.0554,0.0131,299.8349,1.0000,2.9982e-04
3.0141e-04,0.0045,0.0536,0.0126,301.4208,1.0000,3.0141e-04
3.0299e-04,0.0043,0.0519,0.0122,303.0067,1.0000,3.0299e-04
3.0458e-04,0.0042,0.0501,0.0118,304.5927,1.0000,3.0458e-04
3.0617e-04,0.0040,0.0485,0.0114,306.1786,1.0000,3.0617e-04
3.0775e-04,0.0039,0.0469,0.0110,307.7646,1.0000,3.0775e-04
3.0934e-04,0.0038,0.0454,0.0107,309.3505,1.0000,3.0934e-04
3.1093e-04,0.0037,0.0439,0.0103,310.9365,1.0000,3.1093e-04
