jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
1.2695e-05,1.9666,23.5994,5.5564,18.2509,0.9998,1.2695e-05
1.4281e-05,1.9019,22.8232,5.3736,19.6545,0.9999,1.4281e-05
1.5867e-05,1.8394,22.0725,5.1968,21.0641,0.9999,1.5867e-05
1.7454e-05,1.7789,21.3465,5.0259,22.4795,0.9999,1.7454e-05
1.9040e-05,1.7204,20.6443,4.8606,23.9005,0.9999,1.9040e-05
2.0626e-05,1.6638,19.9653,4.7007,25.3270,0.9999,2.0626e-05
2.2213e-05,1.6090,19.3086,4.5461,26.7587,0.9999,2.2213e-05
2.3799e-05,1.5561,18.6735,4.3966,28.1955,0.9999,2.3799e-05
2.5385e-05,1.5049,18.0593,4.2520,29.6372,0.9999,2.5385e-05
2.6972e-05,1.4554,17.4652,4.1121,31.0837,0.9999,2.6972e-05
2.8558e-05,1.4076,16.8908,3.9768,32.5348,1.0000,2.8558e-05
3.0144e-05,1.3613,16.3352,3.8460,33.9903,1.0000,3.0144e-05
3.1731e-05,1.3165,15.7979,3.7195,35.4502,1.0000,3.1731e-05
3.3317e-05,1.2732,15.2783,3.5972,36.9141,1.0000,3.3317e-05
3.4903e-05,1.2313,14.7757,3.4789,38.3822,1.0000,3.4903e-05
3.6490e-05,1.1908,14.2897,3.3644,39.8541,1.0000,3.6490e-05
3.8076e-05,1.1516,13.8197,3.2538,41.3298,1.0000,3.8076e-05
3.9662e-05,1.1138,13.3651,3.1467,42.8091,1.0000,3.9662e-05
4.1249e-05,1.0771,12.9255,3.0432,44.2919,1.0000,4.1249e-05
4.2835e-05,1.0417,12.5004,2.9431,45.7781,1.0000,4.2835e-05
4.4421e-05,1.0074,12.0892,2.8463,47.2677,1.0000,4.4421e-05
4.6008e-05,0.9743,11.6916,2.7527,48.7604,1.0000,4.6008e-05
4.7594e-05,0.9422,11.3070,2.6622,50.2562,1.0000,4.7594e-05
4.9180e-05,0.9113,10.9351,2.5746,51.7550,1.0000,4.9180e-05
5.0767e-05,0.8813,10.5754,2.4899,53.2566,1.0000,5.0767e-05
5.2353e-05,0.8523,10.2276,2.4080,54.7610,1.0000,5.2353e-05
5.3939e-05,0.8243,9.8911,2.3288,56.2682,1.0000,5.3939e-05
5.5526e-05,0.7972,9.5658,2.2522,57.7779,1.0000,5.5526e-05
5.7112e-05,0.7709,9.2512,2.1781,59.2902,1.0000,5.7112e-05
5.8698e-05,0.7456,8.9469,2.1065,60.8049,1.0000,5.8698e-05
6.0285e-05,0.7210,8.6526,2.0372,62.3219,1.0000,6.0285e-05
6.1871e-05,0.6973,8.3680,1.9702,63.8413,1.0000,6.1871e-05
6.3457e-05,0.6744,8.0927,1.9054,65.3628,1.0000,6.3457e-05
6.5044e-05,0.6522,7.8266,1.8427,66.8865,1.0000,6.5044e-05
6.6630e-05,0.6308,7.5691,1.7821,68.4122,1.0000,6.6630e-05
6.8216e-05,0.6100,7.3202,1.7235,69.9399,1.0000,6.8216e-05
6.9803e-05,0.5899,7.0794,1.6668,71.4696,1.0000,6.9803e-05
7.1389e-05,0.5705,6.8465,1.6120,73.0011,1.0000,7.1389e-05
7.2975e-05,0.5518,6.6213,1.5590,74.5344,1.0000,7.2975e-05
7.4562e-05,0.5336,6.4035,1.5077,76.0694,1.0000,7.4562e-05
7.6148e-05,0.5161,6.1929,1.4581,77.6062,1.0000,7.6148e-05
7.7734e-05,0.4991,5.9892,1.4101,79.1446,1.0000,7.7734e-05
7.9321e-05,0.4827,5.7922,1.3637,80.6845,1.0000,7.9321e-05
8.0907e-05,0.4668,5.6017,1.3189,82.2260,1.0000,8.0907e-05
8.2493e-05,0.4515,5.4174,1.2755,83.7690,1.0000,8.2493e-05
8.4080e-05,0.4366,5.2392,1.2336,85.3133,1.0000,8.4080e-05
8.5666e-05,0.4222,5.0669,1.1930,86.8591,1.0000,8.5666e-05
8.7252e-05,0.4084,4.9002,1.1537,88.4062,1.0000,8.7252e-05
8.8839e-05,0.3949,4.7391,1.1158,89.9546,1.0000,8.8839e-05
9.0425e-05,0.3819,4.5832,1.0791,91.5042,1.0000,9.0425e-05
9.2011e-05,0.3694,4.4324,1.0436,93.0551,1.0000,9.2011e-05
9.3598e-05,0.3572,4.2866,1.0093,94.6071,1.0000,9.3598e-05
9.5184e-05,0.3455,4.1456,0.9761,96.1602,1.0000,9.5184e-05
9.6771e-05,0.3341,4.0093,0.9440,97.7145,1.0000,9.6771e-05
9.8357e-05,0.3231,3.8774,0.9129,99.2698,1.0000,9.8357e-05
9.9943e-05,0.3125,3.7499,0.8829,100.8261,1.0000,9.9943e-05
1.0153e-04,0.3022,3.6265,0.8538,102.3834,1.0000,1.0153e-04
1.0312e-04,0.2923,3.5072,0.8258,103.9416,1.0000,1.0312e-04
1.0470e-04,0.2827,3.3919,0.7986,105.5008,1.0000,1.0470e-04
1.0629e-04,0.2734,3.2803,0.7723,107.0609,1.0000,1.0629e-04
1.0787e-04,0.2644,3.1724,0.7469,108.6218,1.0000,1.0787e-04
1.0946e-04,0.2557,3.0681,0.7224,110.1836,1.0000,1.0946e-04
1.1105e-04,0.2473,2.9672,0.6986,111.7462,1.0000,1.1105e-04
1.1263e-04,0.2391,2.8696,0.6756,113.3095,1.0000,1.1263e-04
1.1422e-04,0.2313,2.7752,0.6534,114.8736,1.0000,1.1422e-04
1.1581e-04,0.2237,2.6839,0.6319,116.4385,1.0000,1.1581e-04
1.1739e-04,0.2163,2.5956,0.6111,118.0040,1.0000,1.1739e-04
1.1898e-04,0.2092,2.5102,0.5910,119.5703,1.0000,1.1898e-04
1.2057e-04,0.2023,2.4277,0.5716,121.1372,1.0000,1.2057e-04
1.2215e-04,0.1957,2.3478,0.5528,122.7047,1.0000,1.2215e-04
1.2374e-04,0.1892,2.2706,0.5346,124.2729,1.0000,1.2374e-04
1.2532e-04,0.1830,2.1959,0.5170,125.8416,1.0000,1.2532e-04
1.2691e-04,0.1770,2.1237,0.5000,127.4109,1.0000,1.2691e-04
1.2850e-04,0.1712,2.0538,0.4836,128.9808,1.0000,1.2850e-04
1.3008e-04,0.1655,1.9863,0.4677,130.5513,1.0000,1.3008e-04
1.3167e-04,0.1601,1.9209,0.4523,132.1222,1.0000,1.3167e-04
1.3326e-04,0.1548,1.8578,0.4374,133.6937,1.0000,1.3326e-04
1.3484e-04,0.1497,1.7966,0.4230,135.2656,1.0000,1.3484e-04
1.3643e-04,0.1448,1.7376,0.4091,136.8381,1.0000,1.3643e-04
1.3802e-04,0.1400,1.6804,0.3956,138.4109,1.0000,1.3802e-04
1.3960e-04,0.1354,1.6251,0.3826,139.9843,1.0000,1.3960e-04
