jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
2.9594e-09,2.5700,30.8399,7.2611,7.2640,0.1316,2.9594e-09
2.9983e-09,2.5700,30.8399,7.2611,7.2641,0.1429,2.9983e-09
3.0373e-09,2.5700,30.8398,7.2611,7.2641,0.1539,3.0373e-09
3.0762e-09,2.5700,30.8398,7.2611,7.2642,0.1646,3.0762e-09
3.1152e-09,2.5700,30.8398,7.2611,7.2642,0.1750,3.1152e-09
3.1541e-09,2.5700,30.8398,7.2611,7.2642,0.1852,3.1541e-09
3.1930e-09,2.5700,30.8398,7.2611,7.2643,0.1951,3.1930e-09
3.2320e-09,2.5700,30.8398,7.2611,7.2643,0.2048,3.2320e-09
3.2709e-09,2.5700,30.8398,7.2611,7.2643,0.2143,3.2709e-09
3.3098e-09,2.5700,30.8398,7.2611,7.2644,0.2235,3.3098e-09
3.3488e-09,2.5700,30.8397,7.2611,7.2644,0.2326,3.3488e-09
3.3877e-09,2.5700,30.8397,7.2611,7.2644,0.2414,3.3877e-09
3.4267e-09,2.5700,30.8397,7.2610,7.2645,0.2500,3.4267e-09
3.4656e-09,2.5700,30.8397,7.2610,7.2645,0.2584,3.4656e-09
3.5045e-09,2.5700,30.8397,7.2610,7.2645,0.2667,3.5045e-09
3.5435e-09,2.5700,30.8397,7.2610,7.2646,0.2747,3.5435e-09
3.5824e-09,2.5700,30.8397,7.2610,7.2646,0.2826,3.5824e-09
3.6214e-09,2.5700,30.8397,7.2610,7.2647,0.2903,3.6214e-09
3.6603e-09,2.5700,30.8396,7.2610,7.2647,0.2979,3.6603e-09
3.6992e-09,2.5700,30.8396,7.2610,7.2647,0.3053,3.6992e-09
3.7382e-09,2.5700,30.8396,7.2610,7.2648,0.3125,3.7382e-09
3.7771e-09,2.5700,30.8396,7.2610,7.2648,0.3196,3.7771e-09
3.8161e-09,2.5700,30.8396,7.2610,7.2648,0.3265,3.8161e-09
3.8550e-09,2.5700,30.8396,7.2610,7.2649,0.3333,3.8550e-09
3.2746e-07,2.5612,30.7344,7.2362,7.5637,0.9922,3.2746e-07
6.5106e-07,2.5524,30.6292,7.2115,7.8625,0.9961,6.5106e-07
9.7466e-07,2.5437,30.5240,7.1867,8.1614,0.9974,9.7466e-07
1.2983e-06,2.5349,30.4188,7.1619,8.4602,0.9980,1.2983e-06
1.6219e-06,2.5261,30.3136,7.1372,8.7590,0.9984,1.6219e-06
1.9455e-06,2.5174,30.2084,7.1124,9.0579,0.9987,1.9455e-06
2.2691e-06,2.5086,30.1031,7.0876,9.3567,0.9989,2.2691e-06
2.5927e-06,2.4998,29.9979,7.0629,9.6555,0.9990,2.5927e-06
2.9163e-06,2.4911,29.8927,7.0381,9.9544,0.9991,2.9163e-06
3.2399e-06,2.4823,29.7875,7.0133,10.2532,0.9992,3.2399e-06
3.5635e-06,2.4735,29.6823,6.9885,10.5520,0.9993,3.5635e-06
3.8871e-06,2.4648,29.5771,6.9638,10.8509,0.9994,3.8871e-06
4.2107e-06,2.4560,29.4719,6.9390,11.1497,0.9994,4.2107e-06
4.5343e-06,2.4472,29.3667,6.9142,11.4485,0.9995,4.5343e-06
4.8579e-06,2.4385,29.2615,6.8895,11.7474,0.9995,4.8579e-06
5.1815e-06,2.4297,29.1563,6.8647,12.0462,0.9995,5.1815e-06
5.5051e-06,2.4209,29.0511,6.8399,12.3450,0.9996,5.5051e-06
5.8287e-06,2.4122,28.9459,6.8152,12.6439,0.9996,5.8287e-06
6.1523e-06,2.4034,28.8407,6.7904,12.9427,0.9996,6.1523e-06
6.4759e-06,2.3946,28.7355,6.7656,13.2415,0.9996,6.4759e-06
6.7995e-06,2.3859,28.6303,6.7408,13.5404,0.9996,6.7995e-06
7.1231e-06,2.3771,28.5251,6.7161,13.8392,0.9997,7.1231e-06
7.4467e-06,2.3683,28.4199,6.6913,14.1380,0.9997,7.4467e-06
7.7703e-06,2.3596,28.3147,6.6665,14.4369,0.9997,7.7703e-06
8.0939e-06,2.3508,28.2094,6.6418,14.7357,0.9997,8.0939e-06
8.4175e-06,2.3420,28.1042,6.6170,15.0345,0.9997,8.4175e-06
8.7411e-06,2.3333,27.9990,6.5922,15.3334,0.9997,8.7411e-06
9.0647e-06,2.3245,27.8938,6.5675,15.6322,0.9997,9.0647e-06
9.3883e-06,2.3157,27.7886,6.5427,15.9310,0.9998,9.3883e-06
9.7119e-06,2.3070,27.6834,6.5179,16.2299,0.9998,9.7119e-06
1.0036e-05,2.2982,27.5782,6.4931,16.5287,0.9998,1.0036e-05
1.0359e-05,2.2894,27.4730,6.4684,16.8275,0.9998,1.0359e-05
1.0683e-05,2.2807,27.3678,6.4436,17.1264,0.9998,1.0683e-05
1.1006e-05,2.2719,27.2626,6.4188,17.4252,0.9998,1.1006e-05
1.1330e-05,2.2631,27.1574,6.3941,17.7240,0.9998,1.1330e-05
1.1654e-05,2.2543,27.0522,6.3693,18.0228,0.9998,1.1654e-05
1.1977e-05,2.2456,26.9470,6.3445,18.3217,0.9998,1.1977e-05
1.2301e-05,2.2368,26.8418,6.3198,18.6205,0.9998,1.2301e-05
1.2624e-05,2.2280,26.7366,6.2950,18.9193,0.9998,1.2624e-05
1.2948e-05,2.2193,26.6314,6.2702,19.2182,0.9998,1.2948e-05
1.3272e-05,2.2105,26.5262,6.2454,19.5170,0.9998,1.3272e-05
1.3595e-05,2.2017,26.4210,6.2207,19.8158,0.9998,1.3595e-05
